Rider,Speed1,Speed2,Speed3,Speed4,Speed5,Speed6,Speed7,Speed8,Speed9,Speed10,Speed11
Alvaro CARPE,234.6,231.5,229.2,227.6,227.6,226.1,NaN,NaN,NaN,NaN,NaN
Maximo QUILES,233.8,231.5,230.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Joel KELSO,233.8,229.2,225.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Dennis FOGGIA,233,231.5,227.6,227.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Casey O'GORMAN,232.2,228.4,227.6,226.9,226.1,224.7,224.7,223.9,223.9,223.9,223.2
Hakim DANISH,231.5,227.6,223.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Luca LUNETTA,230.7,227.6,226.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Valentin PERRONE,229.9,226.9,225.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Brian URIARTE,229.9,229.9,227.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Angel PIQUERAS,229.2,228.4,227.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Adrian FERNANDEZ,228.4,227.6,227.6,227.6,227.6,NaN,NaN,NaN,NaN,NaN,NaN
David ALMANSA,228.4,225.4,225.4,224.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Marco MORELLI,227.6,226.9,223.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Adrian CRUCES,226.9,226.9,226.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Taiyo FURUSATO,226.1,225.4,225.4,225.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
